HPI rank,Country,ISO,,Continent,Population (thousands),Life Expectancy (years),Ladder of life (Wellbeing) (0-10),Ecological Footprint (g ha),HPI,"Biocapacity for year 
61,Denmark,DNK,2016DNK,3,5711.346,80.6,7.55778265,6.916156244,45.17885125,1.6,54358.03363
64,Denmark,DNK,2017DNK,3,5732.277,80.7,7.593702316,6.928879641,45.36657659,1.6,55533.44735
77,Denmark,DNK,2018DNK,3,5752.131,80.8,7.648785591,7.023360955,45.19615624,1.57,56461.00792
70,Denmark,DNK,2019DNK,3,5771.9,80.9,7.69,7.05,45.3,1.56,57862
42,Denmark,DNK,2020DNK,3,5792.2,81.0,7.51,6.14,47.7,1.55,..
30,Dominican Republic,DOM,2015DOM,1,10281.675,73.2,5.061862469,1.633445779,49.72229954,1.61,15328.35206
30,Dominican Republic,DOM,2016DOM,1,10397.738,73.5,5.238698483,1.682617518,50.84355559,1.6,16166.60375
21,Dominican Republic,DOM,2017DOM,1,10513.111,73.7,5.605202675,1.752746688,53.14711944,1.6,16735.33259
26,Dominican Republic,DOM,2018DOM,1,10627.147,73.9,5.433215618,1.827284324,51.42705685,1.57,17711.76553
19,Dominican Republic,DOM,2019DOM,1,10739.0,74.1,6.00,1.93,54.8,1.56,18413
37,Dominican Republic,DOM,2020DOM,1,10847.9,73.6,5.17,1.82,49.3,1.55,..
6,Ecuador,ECU,2015ECU,1,16212.022,76.1,5.964075089,1.904908167,56.73102,1.61,11896.37663
2,Ecuador,ECU,2016ECU,1,16491.116,76.4,6.115437508,1.691060743,59.5325466,1.6,11551.61667
9,Ecuador,ECU,2017ECU,1,16785.356,76.6,5.839518547,1.713983053,57.50511403,1.6,11617.90876
2,Ecuador,ECU,2018ECU,1,17084.359,76.8,6.128010273,1.630290323,60.20185891,1.57,11561.74921
5,Ecuador,ECU,2019ECU,1,17373.7,77.0,5.81,1.51,58.8,1.56,11375
10,Ecuador,ECU,2020ECU,1,17643.1,74.8,5.35,1.30,55.0,1.55,..
63,Egypt,EGY,2015EGY,4,92442.549,71.3,4.762538433,1.875143286,44.82085516,1.61,10570.44546
71,Egypt,EGY,2016EGY,4,94447.071,71.5,4.556740761,1.753555862,44.17219302,1.6,10795.80863
103,Egypt,EGY,2017EGY,4,96442.59,71.7,3.929344177,1.780060494,39.880006,1.6,11014.48614
99,Egypt,EGY,2018EGY,4,98423.602,71.8,4.005450726,1.731398804,40.55629471,1.57,11366.33633
86,Egypt,EGY,2019EGY,4,100388.1,72.0,4.33,1.67,43.2,1.56,11763
57,Egypt,EGY,2020EGY,4,102334.4,72.0,4.47,1.58,44.6,1.55,..
13,El Salvador,SLV,2015SLV,1,6325.121,72.4,6.018496037,1.954985131,53.68541181,1.61,8143.016917
13,El Salvador,SLV,2016SLV,1,6356.137,72.6,6.139824867,2.003133136,54.29450265,1.6,8309.630336
12,El Salvador,SLV,2017SLV,1,6388.124,72.9,6.339318275,1.985553581,56.01473623,1.6,8454.058198
14,El Salvador,SLV,2018SLV,1,6420.74,73.1,6.241199493,2.016699957,55.10601219,1.57,8615.576151
13,El Salvador,SLV,2019SLV,1,6453.6,73.3,6.45,2.06,56.3,1.56,8776
29,El Salvador,SLV,2020SLV,1,6486.2,73.0,5.46,1.87,50.5,1.55,..
122,Estonia,EST,2015EST,7,1315.33,77.8,5.628908634,7.027994729,34.42629032,1.61,31246.23394
122,Estonia,EST,2016EST,7,1316.507,78.1,5.649675369,7.026632994,34.629869,1.6,32232.92164
126,Estonia,EST,2017EST,7,1319.389,78.4,5.938395977,7.16080994,35.73640942,1.6,33964.31415
127,Estonia,EST,2018EST,7,1322.913,78.6,6.091302395,7.562801465,35.34342274,1.57,35320.47464
133,Estonia,EST,2019EST,7,1325.6,78.8,6.03,7.85,34.4,1.56,36948
78,Estonia,EST,2020EST,7,1326.5,78.4,6.45,6.80,38.9,1.55,..
,Eswatini,SWZ,2015SWZ,5,1104.038,55.4,,1.980561544,,1.61,8304.613326
,Eswatini,SWZ,2016SWZ,5,1113.994,57,,1.813382667,,1.6,8321.10661
,Eswatini,SWZ,2017SWZ,5,1124.808,58.3,,1.88396707,,1.6,8408.454272
137,Eswatini,SWZ,2018SWZ,5,1136.274,59.4,4.211565018,1.786539621,33.29174927,1.57,8521.214825
130,Eswatini,SWZ,2019SWZ,5,1148.1,60.2,4.40,1.67,35.3,1.56,8622
,Eswatini,SWZ,2020SWZ,5,1160.2,60.6,,,,1.55,..
76,Ethiopia,ETH,2015ETH,5,100835.453,65,4.573154926,1.059856419,43.36953047,1.61,1779.084023
84,Ethiopia,ETH,2016ETH,5,103603.461,65.5,4.297848701,1.022719119,42.03016388,1.6,1894.896632
93,Ethiopia,ETH,2017ETH,5,106399.926,65.9,4.180315495,1.00771664,41.60349911,1.6,2021.561046
86,Ethiopia,ETH,2018ETH,5,109224.41,66.2,4.379262447,0.978679285,43.22297012,1.57,2103.512989
96,Ethiopia,ETH,2019ETH,5,112078.7,66.6,4.10,0.94,41.7,1.56,2221
51,Ethiopia,ETH,2020ETH,5,114963.6,66.9,4.55,0.90,45.4,1.55,..
34,Finland,FIN,2015FIN,3,5481.128,81.2,7.447925568,5.769722671,49.33257044,1.61,45108.9916
40,Finland,FIN,2016FIN,3,5497.714,81.4,7.659843445,6.14548749,48.99474076,1.6,46244.1052
30,Finland,FIN,2017FIN,3,5511.372,81.6,7.788251877,5.83504831,51.04208969,1.6,47644.42838
30,Finland,FIN,2018FIN,3,5522.585,81.7,7.85810709,5.857173209,51.18811549,1.57,48303.3622
33,Finland,FIN,2019FIN,3,5532.2,81.9,7.78,5.76,51.3,1.56,48803
12,Finland,FIN,2020FIN,3,5540.7,82.0,7.89,5.15,54.6,1.55,..
39,France,FRA,2015FRA,3,64453.194,82.2,6.357625008,4.662123295,48.6826246,1.61,43484.23872
32,France,FRA,2016FRA,3,64667.59,82.3,6.475208759,4.42894984,50.43392161,1.6,43844.7477
32,France,FRA,2017FRA,3,64842.513,82.4,6.635222435,4.602202298,50.6401261,1.6,44755.32528
31,France,FRA,2018FRA,3,64990.512,82.5,6.665903568,4.498721588,51.17811753,1.57,45488.65322
31,France,FRA,2019FRA,3,65129.7,82.7,6.69,4.41,51.8,1.56,46113
14,France,FRA,2020FRA,3,65273.5,82.0,6.71,3.82,54.4,1.55,..
108,Gabon,GAB,2015GAB,5,1947.69,64.9,4.66101265,2.395218511,37.21436962,1.61,15510.0708
98,Gabon,GAB,2016GAB,5,2007.882,65.4,4.831764221,2.312826415,38.85935188,1.6,15359.80924
106,Gabon,GAB,2017GAB,5,2064.812,65.8,4.782382965,2.171096345,39.48938701,1.6,15006.76409
110,Gabon,GAB,2018GAB,5,2119.275,66.2,4.783009052,2.242145187,39.29790813,1.57,14744.43433
109,Gabon,GAB,2019GAB,5,2172.6,66.5,4.91,2.32,39.9,1.56,14950
,Gabon,GAB,2020GAB,5,2225.7,66.7,,,,1.55,..
91,Georgia,GEO,2015GEO,7,4024.18,73,4.121940613,1.964982486,41.19047581,1.61,12605.14007
77,Georgia,GEO,2016GEO,7,4015.457,73.2,4.448386192,2.052957638,43.04600412,1.6,12963.74396
85,Georgia,GEO,2017GEO,7,4008.723,73.4,4.45077467,2.179147971,42.56177598,1.6,13589.70739
81,Georgia,GEO,2018GEO,7,4002.946,73.6,4.659097195,2.288986887,43.36861131,1.57,14257.08166
78,Georgia,GEO,2019GEO,7,3996.8,73.8,4.89,2.43,44.3,1.56,14993
47,Georgia,GEO,2020GEO,7,3989.2,73.3,5.12,2.36,45.7,1.55,..
25,Germany,DEU,2015DEU,3,81787.411,80.8,7.037137508,4.864903075,50.7113199,1.61,51247.06555
34,Germany,DEU,2016DEU,3,82193.77,80.9,6.873763084,4.762096813,50.26092251,1.6,51968.67654
28,Germany,DEU,2017DEU,3,82658.409,81,7.074324608,4.702938114,51.73915277,1.6,53121.98768
23,Germany,DEU,2018DEU,3,83124.413,81.2,7.118364334,4.583985349,52.49810705,1.57,53634.14458
29,Germany,DEU,2019DEU,3,83517.0,81.3,7.04,4.44,52.7,1.56,53811
6,Germany,DEU,2020DEU,3,83783.9,81.1,7.31,3.93,56.8,1.55,..
126,Ghana,GHA,2015GHA,5,27849.203,62.8,3.985916138,2.001901143,33.53668329,1.61,4670.431623
110,Ghana,GHA,2016GHA,5,28481.947,63.1,4.514411449,1.972134304,36.91534815,1.6,4724.125116
86,Ghana,GHA,2017GHA,5,29121.464,63.5,5.481310844,2.042007762,42.55938534,1.6,4996.638706
108,Ghana,GHA,2018GHA,5,29767.108,63.8,5.003693104,2.071768904,39.68537151,1.57,5194.439001
113,Ghana,GHA,2019GHA,5,30417.9,64.1,4.97,2.10,39.5,1.56,5413
67,Ghana,GHA,2020GHA,5,31072.9,64.4,5.32,2.01,42.2,1.55,..
59,Greece,GRC,2015GRC,3,10659.737,81.5,5.622519016,4.164361203,46.06999201,1.61,28678.88087
69,Greece,GRC,2016GRC,3,10615.183,81.7,5.302619457,4.117237054,44.40699922,1.6,28743.41723
80,Greece,GRC,2017GRC,3,10569.449,81.9,5.14824152,4.12298257,43.56733884,1.6,29233.79663
75,Greece,GRC,2018GRC,3,10522.244,82.1,5.40928936,4.079718668,45.29208356,1.57,29859.80485
47,Greece,GRC,2019GRC,3,10473.5,82.2,5.95,4.04,48.8,1.56,30463
26,Greece,GRC,2020GRC,3,10423.1,81.7,5.79,3.21,51.5,1.55,..
4,Guatemala,GTM,2015GTM,1,16252.425,73.3,6.464986801,1.841373041,58.29211188,1.61,8125.364862
4,Guatemala,GTM,2016GTM,1,16583.079,73.5,6.358916283,1.839335755,57.67299232,1.6,8205.754475
7,Guatemala,GTM,2017GTM,1,16914.979,73.8,6.325118542,1.783268906,58.09636199,1.6,8317.364101
3,Guatemala,GTM,2018GTM,1,17247.855,74.1,6.626591682,1.79182249,60.20083496,1.57,8448.463809
8,Guatemala,GTM,2019GTM,1,17581.5,74.3,6.26,1.77,57.9,1.56,8637
,Guatemala,GTM,2020GTM,1,17915.6,73.4,,,,1.55,..
135,Guinea,GIN,2015GIN,5,11432.096,59.6,3.504693508,1.560901579,30.41397624,1.61,2087.784046
134,Guinea,GIN,2016GIN,5,11738.434,60.2,3.602854729,1.614086462,31.12473456,1.6,2253.478244
110,Guinea,GIN,2017GIN,5,12067.516,60.7,4.873722553,1.680077299,38.63546408,1.6,2417.799187
97,Guinea,GIN,2018GIN,5,12414.292,61.2,5.25222683,1.725578829,40.86355159,1.57,2495.971762
120,Guinea,GIN,2019GIN,5,12771.2,61.6,4.77,1.77,38.1,1.56,2562
,Guinea,GIN,2020GIN,5,13132.8,62.0,,,,1.55,..
110,Haiti,HTI,2015HTI,1,10695.54,62.5,3.569762468,0.648546238,36.87488828,1.61,2941.815531
115,Haiti,HTI,2016HTI,1,10839.976,62.9,3.352300167,0.65225687,35.58263314,1.6,2952.618729
108,Haiti,HTI,2017HTI,1,10982.367,63.3,3.823865652,0.642578407,39.21815961,1.6,2980.960856
119,Haiti,HTI,2018HTI,1,11123.183,63.7,3.614928007,0.63463956,37.94186761,1.57,2992.312294
119,Haiti,HTI,2019HTI,1,11263.1,64.0,3.61,0.62,38.2,1.56,2905
,Haiti,HTI,2020HTI,1,11402.5,64.2,,,,1.55,..
31,Honduras,HND,2015HND,1,9112.904,74.5,4.845436573,1.586166564,49.45467831,1.61,5283.409956
9,Honduras,HND,2016HND,1,9270.794,74.7,5.648154736,1.538380265,55.73818967,1.6,5395.613969
6,Honduras,HND,2017HND,1,9429.016,74.9,6.019985676,1.538064619,58.64685917,1.6,5561.996312
7,Honduras,HND,2018HND,1,9587.523,75.1,5.908423901,1.558357497,57.63346241,1.57,5672.25331
9,Honduras,HND,2019HND,1,9746.1,75.3,5.93,1.58,57.7,1.56,5728
,Honduras,HND,2020HND,1,9904.6,74.2,,,,1.55,..
,Hong Kong,HKG,2015HKG,8,7185.992,84,5.478235722,,,1.61,57215.9704
,Hong Kong,HKG,2016HKG,8,7243.541,84.3,5.498420715,,,1.6,58096.28339
141,Hong Kong,HKG,2017HKG,8,7306.315,84.5,5.362474918,9.05338,31.62644672,1.6,59849.24818
139,Hong Kong,HKG,2018HKG,8,7371.728,84.7,5.510895967,8.844873384,32.66395188,1.57,61063.54937
138,Hong Kong,HKG,2019HKG,8,7436.2,84.9,5.66,8.60,33.9,1.56,59848
,Hong Kong,HKG,2020HKG,8,7497.0,85.1,5.30,,,1.55,..
71,Hungary,HUN,2015HUN,7,9777.925,76,5.34438324,3.44843684,44.02126767,1.61,27587.13548
76,Hungary,HUN,2016HUN,7,9752.97,76.3,5.448901653,3.783801361,43.31716346,1.6,28260.77661
51,Hungary,HUN,2017HUN,7,9729.822,76.5,6.065038681,3.673492153,47.57198268,1.6,29559.21447
67,Hungary,HUN,2018HUN,7,9707.502,76.7,5.935770988,3.853759318,45.94365008,1.57,31196.50498
69,Hungary,HUN,2019HUN,7,9684.7,76.9,6.00,4.07,45.4,1.56,32640
48,Hungary,HUN,2020HUN,7,9660.4,76.1,6.04,3.93,45.7,1.55,..
,Iceland,ISL,2015ISL,3,330.237,82.5,7.498070717,,,1.61,51471.02158
,Iceland,ISL,2016ISL,3,332.209,82.6,7.510034561,,,1.6,54125.48067
57,Iceland,ISL,2017ISL,3,334.395,82.7,7.476213932,6.8228,46.3978659,1.6,55274.18912
59,Iceland,ISL,2018ISL,3,336.712,82.9,7.504359245,6.710243699,46.88231567,1.57,55866.18927
52,Iceland,ISL,2019ISL,3,339.0,83.0,7.53,6.46,48.0,1.56,55700
16,Iceland,ISL,2020ISL,3,341.3,82.9,7.58,5.10,53.7,1.55,..
70,India,IND,2015IND,6,1310152.392,68.6,4.342079163,1.132968675,44.10126332,1.61,5454.347104
78,India,IND,2016IND,6,1324517.25,68.9,4.179177284,1.146932709,43.02898423,1.6,5840.670229
89,India,IND,2017IND,6,1338676.779,69.2,4.046111107,1.194777473,42.02997103,1.6,6185.993893
103,India,IND,2018IND,6,1352642.283,69.4,3.818068743,1.213227782,40.29637313,1.57,6496.807506
128,India,IND,2019IND,6,1366417.8,69.7,3.25,1.22,36.4,1.56,6700
63,India,IND,2020IND,6,1380004.4,69.8,4.23,1.14,43.8,1.55,..
46,Indonesia,IDN,2015IDN,8,258383.257,70.8,5.04279995,1.608902514,47.8746162,1.61,10149.60391
44,Indonesia,IDN,2016IDN,8,261556.386,71,5.136325359,1.620646723,48.5456262,1.6,10531.19794
46,Indonesia,IDN,2017IDN,8,264650.969,71.3,5.098401546,1.661594819,48.27079061,1.6,10935.84175
41,Indonesia,IDN,2018IDN,8,267670.549,71.5,5.340295792,1.700775266,49.67023522,1.57,11371.53194
44,Indonesia,IDN,2019IDN,8,270625.6,71.7,5.35,1.74,49.6,1.56,11812
,Indonesia,IDN,2020IDN,8,273523.6,71.7,,1.59,,1.55,..
89,Iran,IRN,2015IRN,4,78492.208,75.8,4.749955654,3.200017713,41.36126242,1.61,12698.10807
91,Iran,IRN,2016IRN,4,79563.991,76,4.652730942,3.15587854,41.02257135,1.6,14205.20717
94,Iran,IRN,2017IRN,4,80673.888,76.3,4.716783047,3.224457514,41.31012722,1.6,14535.86223
116,Iran,IRN,2018IRN,4,81800.204,76.5,4.278117657,3.178226508,38.75467309,1.57,13471.84897
84,Iran,IRN,2019IRN,4,82913.9,76.7,5.01,3.12,43.6,1.56,12389
70,Iran,IRN,2020IRN,4,83993.0,75.3,4.86,3.09,41.9,1.55,..
82,Iraq,IRQ,2015IRQ,4,35572.269,69.9,4.493377209,1.771564034,42.56272307,1.61,10310.68002
82,Iraq,IRQ,2016IRQ,4,36610.632,70.1,4.412537098,1.734939452,42.29979124,1.6,11542.26426
87,Iraq,IRQ,2017IRQ,4,37552.789,70.3,4.462399006,1.803408514,42.41906805,1.6,10971.97001
74,Iraq,IRQ,2018IRQ,4,38433.604,70.5,4.8864007,1.769129175,45.42260571,1.57,10660.09256
71,Iraq,IRQ,2019IRQ,4,39309.8,70.6,4.84,1.74,45.3,1.56,10881
54,Iraq,IRQ,2020IRQ,4,40222.5,69.6,4.79,1.56,45.1,1.55,..
38,Ireland,IRL,2015IRL,3,4652.42,81.3,6.830125332,5.115699003,48.80178696,1.61,71173.51565
33,Ireland,IRL,2016IRL,3,4695.79,81.6,7.04073143,5.041625359,50.42761852,1.6,72962.8507
31,Ireland,IRL,2017IRL,3,4753.281,81.9,7.060155392,5.013502757,50.86492353,1.6,78051.521
39,Ireland,IRL,2018IRL,3,4818.694,82.1,6.962335587,5.107560986,49.8516289,1.57,83388.72115
35,Ireland,IRL,2019IRL,3,4882.5,82.3,7.25,5.20,51.1,1.56,86826
21,Ireland,IRL,2020IRL,3,4937.8,81.6,7.03,4.59,52.1,1.55,..
40,Israel,ISR,2015ISR,4,7978.496,82.3,7.07941103,5.665343436,48.53490883,1.61,37687.74748
19,Israel,ISR,2016ISR,4,8108.984,82.5,7.159010887,4.771553354,52.95537866,1.6,38427.74095
33,Israel,ISR,2017ISR,4,8243.849,82.7,7.331036091,5.5468826,50.57504766,1.6,39022.88802
56,Israel,ISR,2018ISR,4,8381.507,82.8,6.92717886,5.785174899,47.33166993,1.57,39600.27751
49,Israel,ISR,2019ISR,4,8519.4,83.0,7.33,6.11,48.2,1.56,40200
32,Israel,ISR,2020ISR,4,8655.5,82.2,7.19,5.34,50.1,1.55,..
50,Italy,ITA,2015ITA,3,60578.489,82.8,5.847683907,4.3765207,47.31775428,1.61,40376.35073
46,Italy,ITA,2016ITA,3,60663.068,83,5.95452404,4.326680767,48.25081043,1.6,40968.14304
38,Italy,ITA,2017ITA,3,60673.694,83.2,6.198870182,4.410827158,49.46967817,1.6,41713.90002
28,Italy,ITA,2018ITA,3,60627.291,83.4,6.516526699,4.432096245,51.21839408,1.57,42187.82412
40,Italy,ITA,2019ITA,3,60550.1,83.5,6.45,4.45,50.7,1.56,42416
20,Italy,ITA,2020ITA,3,60461.8,82.3,6.49,3.93,52.6,1.55,..
11,Jamaica,JAM,2015JAM,1,2891.024,74.1,5.5036122,1.520201786,54.37250794,1.61,9470.797195
10,Jamaica,JAM,2016JAM,1,2906.242,74.2,5.696685632,1.60550902,55.20347421,1.6,9550.810094
14,Jamaica,JAM,2017JAM,1,2920.848,74.3,5.889759064,1.811078493,55.26431443,1.6,9598.370957
10,Jamaica,JAM,2018JAM,1,2934.853,74.4,6.099498987,1.834394317,56.45698863,1.57,9737.981656
7,Jamaica,JAM,2019JAM,1,2948.3,74.5,6.31,1.84,57.9,1.56,9761
,Jamaica,JAM,2020JAM,1,2961.2,74.4,,,,1.55,..
44,Japan,JPN,2015JPN,8,127985.139,83.9,5.879684448,4.437556634,47.93934159,1.61,39900.75492
45,Japan,JPN,2016JPN,8,127763.267,84.1,5.954650879,4.464446398,48.33973477,1.6,40155.28071
53,Japan,JPN,2017JPN,8,127502.728,84.3,5.910676479,4.651207358,47.38539508,1.6,41093.50063
61,Japan,JPN,2018JPN,8,127202.19,84.5,5.793575287,4.666630762,46.57069051,1.57,41309.95609
57,Japan,JPN,2019JPN,8,126860.3,84.6,5.91,4.71,47.1,1.56,41667
31,Japan,JPN,2020JPN,8,126476.5,84.9,6.12,4.30,50.3,1.55,..
23,Jordan,JOR,2015JOR,4,9266.573,74.1,5.404593468,1.893776444,51.22810441,1.61,10145.83449
36,Jordan,JOR,2016JOR,4,9554.286,74.2,5.27128458,1.995216108,49.70275016,1.6,10039.50576
54,Jordan,JOR,2017JOR,4,9785.84,74.3,4.808082581,1.926430407,46.96536822,1.6,10010.39496
73,Jordan,JOR,2018JOR,4,9965.322,74.4,4.638933659,1.959970559,45.50249618,1.57,10022.76232
83,Jordan,JOR,2019JOR,4,10101.7,74.5,4.45,2.03,43.9,1.56,10071
73,Jordan,JOR,2020JOR,4,10203.1,73.3,4.09,1.95,40.9,1.55,..
116,Kazakhstan,KAZ,2015KAZ,7,17572.01,71.3,5.949995041,5.882587608,35.56350402,1.61,24290.41763
125,Kazakhstan,KAZ,2016KAZ,7,17830.902,72.1,5.533551693,5.8496004,34.15479972,1.6,24210.86296
128,Kazakhstan,KAZ,2017KAZ,7,18080.023,72.7,5.882351398,5.988221467,35.68789318,1.6,24862.96612
122,Kazakhstan,KAZ,2018KAZ,7,18319.616,73.2,6.00763607,5.901997763,36.66047233,1.57,25544.34476
118,Kazakhstan,KAZ,2019KAZ,7,18551.4,73.6,6.27,5.72,38.6,1.56,26352
79,Kazakhstan,KAZ,2020KAZ,7,18776.7,73.7,6.17,5.51,38.8,1.55,..
88,Kenya,KEN,2015KEN,5,47878.339,64.8,4.357617855,1.057958759,41.76008859,1.61,3824.759543
81,Kenya,KEN,2016KEN,5,49051.531,65.4,4.396127701,0.997617888,42.77505281,1.6,3952.745641
77,Kenya,KEN,2017KEN,5,50221.146,65.9,4.475654125,0.993979465,43.73543251,1.6,4046.208425
78,Kenya,KEN,2018KEN,5,51392.57,66.3,4.655702591,0.99217778,45.1485644,1.57,4203.802282
72,Kenya,KEN,2019KEN,5,52574.0,66.7,4.62,0.99,45.2,1.56,4330
52,Kenya,KEN,2020KEN,5,53771.3,67.0,4.55,0.92,45.3,1.55,..
133,Kuwait,KWT,2015KWT,4,3835.588,75.1,6.146031857,8.436236055,31.98476069,1.61,54834.25119
133,Kuwait,KWT,2016KWT,4,3956.862,75.2,5.947194576,8.439226413,31.2002207,1.6,54708.70268
134,Kuwait,KWT,2017KWT,4,4056.102,75.3,6.093905449,8.031758458,32.72680536,1.6,50855.49996
138,Kuwait,KWT,2018KWT,4,4137.314,75.4,6.100012541,7.867505522,33.05372679,1.57,50478.5941
140,Kuwait,KWT,2019KWT,4,4207.1,75.5,6.11,7.77,33.3,1.56,49854
,Kuwait,KWT,2020KWT,4,4270.6,75.0,,6.72,,1.55,..
54,Kyrgyzstan,KGZ,2015KGZ,7,5959.126,70.9,4.905375957,1.736587192,46.26285961,1.61,4805.141092
53,Kyrgyzstan,KGZ,2016KGZ,7,6074.327,71.1,4.856534004,1.684128381,46.32117641,1.6,4912.382483
26,Kyrgyzstan,KGZ,2017KGZ,7,6189.727,71.2,5.629536629,1.55354464,52.55963878,1.6,5046.691535
35,Kyrgyzstan,KGZ,2018KGZ,7,6304.025,71.3,5.297383308,1.499857642,50.47203196,1.57,5133.151914
25,Kyrgyzstan,KGZ,2019KGZ,7,6415.9,71.5,5.69,1.44,53.7,1.56,5254
3,Kyrgyzstan,KGZ,2020KGZ,7,6524.2,71.2,6.25,1.47,57.1,1.55,..
,Laos,LAO,2015LAO,8,6741.16,66.5,,1.74692341,,1.61,6543.666806
,Laos,LAO,2016LAO,8,6845.848,66.9,,1.850226676,,1.6,6896.129388
99,Laos,LAO,2017LAO,8,6953.031,67.3,4.623140812,1.996751197,40.3882331,1.6,7257.807932
100,Laos,LAO,2018LAO,8,7061.498,67.6,4.85940218,2.282094073,40.54458321,1.57,7592.819798
90,Laos,LAO,2019LAO,8,7169.5,67.9,5.20,2.28,42.8,1.56,7826
,Laos,LAO,2020LAO,8,7275.6,,5.28,2.23,,1.55,..
112,Latvia,LVA,2015LVA,7,1997.675,74.7,5.880597591,6.16647606,36.31080676,1.61,26706.26276
111,Latvia,LVA,2016LVA,7,1974.265,74.9,5.940446377,6.220245929,36.49648773,1.6,27590.98338
124,Latvia,LVA,2017LVA,7,1951.097,75,5.977817535,6.131974947,36.98340444,1.6,28741.47519
128,Latvia,LVA,2018LVA,7,1928.461,75.2,5.901154041,6.619379482,35.22580922,1.57,30131.97915
136,Latvia,LVA,2019LVA,7,1906.7,75.3,5.97,7.15,34.1,1.56,30965
83,Latvia,LVA,2020LVA,7,1886.2,75.3,6.23,6.61,36.7,1.55,..
62,Lebanon,LBN,2015LBN,4,6532.681,78.8,5.171971321,3.406617642,44.96997611,1.61,16299.21525
58,Lebanon,LBN,2016LBN,4,6714.281,78.8,5.27072382,3.375625868,45.67735347,1.6,16108.50408
68,Lebanon,LBN,2017LBN,4,6819.373,78.8,5.153989792,3.329648715,45.15592938,1.6,16005.25704
70,Lebanon,LBN,2018LBN,4,6859.408,78.9,5.167186737,3.183907596,45.82130248,1.57,15612.01218
