Region,Subregion,country,2015,2016,2017,2018,2019,2020
Asia,Southern Asia,Afghanistan,3367,2318,2424,2474,,
Europe,Southern Europe,Albania,64,79,58,66,65,61
Africa,Northern Africa,Algeria,542,,,,571,580
Oceania,Polynesia,American Samoa,4,3,,,0,
Europe,Southern Europe,Andorra,0,,,,,2
Africa,Sub-Saharan Africa,Angola,,,,,,
Americas,Latin America and the Caribbean,Anguilla,,,,,,
Americas,Latin America and the Caribbean,Antigua and Barbuda,,,,,3,
Americas,Latin America and the Caribbean,Argentina,2837,2625,2317,2387,2303,
Asia,Western Asia,Armenia,75,87,70,50,73,52
Americas,Latin America and the Caribbean,Aruba,,,,,,
Oceania,Australia and New Zealand,Australia,236,227,208,221,225,221
Europe,Western Europe,Austria,46,54,70,86,77,65
Asia,Western Asia,Azerbaijan,225,208,201,219,183,230
Americas,Latin America and the Caribbean,Bahamas,146,111,122,91,95,73
Asia,Western Asia,Bahrain,8,10,5,6,2,
Asia,Southern Asia,Bangladesh,4035,3591,3549,3830,,
Americas,Latin America and the Caribbean,Barbados,31,22,30,28,48,
Europe,Eastern Europe,Belarus,326,307,240,226,225,
Europe,Western Europe,Belgium,,,,,,
Americas,Latin America and the Caribbean,Belize,119,138,142,143,134,102
Americas,Northern America,Bermuda,4,8,5,,0,
Asia,Southern Asia,Bhutan,12,9,13,9,8,19
Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),671,599,717,544,806,
Europe,Southern Europe,Bosnia and Herzegovina,57,45,42,39,39,
Africa,Sub-Saharan Africa,Botswana,,,,,,
Americas,Latin America and the Caribbean,Brazil,58138,61143,63748,55914,44033,43879
Americas,Latin America and the Caribbean,British Virgin Islands,,,,,,
Asia,South-eastern Asia,Brunei Darussalam,,,,,,
Europe,Eastern Europe,Bulgaria,126,79,103,92,83,69
Africa,Sub-Saharan Africa,Burkina Faso,117,209,240,,,
Africa,Sub-Saharan Africa,Burundi,461,635,,,,
Africa,Sub-Saharan Africa,Cabo Verde,46,62,38,37,34,36
Asia,South-eastern Asia,Cambodia,,,,,,
Africa,Sub-Saharan Africa,Cameroon,269,276,,,,
Americas,Northern America,Canada,610,612,660,651,687,743
Americas,Latin America and the Caribbean,Cayman Islands,,,,,,
Europe,Northern Europe,Channel Islands,,,,,,
Americas,Latin America and the Caribbean,Chile,610,620,779,825,744,
Asia,Eastern Asia,China,0,8634,7990,7525,,
Asia,Eastern Asia,China Macao SAR,1,1,2,2,2,2
Asia,Eastern Asia,"China, Hong Kong SAR",22,28,24,48,24,22
Asia,Eastern Asia,"China, Taiwan Province of China",192,,,,,
Americas,Latin America and the Caribbean,Colombia,12782,12402,12237,12586,12080,11520
Oceania,Polynesia,Cook Islands,,,,,,
Americas,Latin America and the Caribbean,Costa Rica,557,578,603,563,563,570
Europe,Southern Europe,Croatia,37,44,46,24,33,39
Americas,Latin America and the Caribbean,Cuba,619,572,,,,
Americas,Latin America and the Caribbean,Curaçao,,,,,,
Asia,Western Asia,Cyprus,15,13,7,15,15,15
Europe,Eastern Europe,Czechia,88,65,66,,97,77
Europe,Northern Europe,Denmark,62,56,71,58,66,55
Americas,Latin America and the Caribbean,Dominica,9,16,19,13,14,15
Americas,Latin America and the Caribbean,Dominican Republic,,1616,1216,1068,1026,961
Americas,Latin America and the Caribbean,Ecuador,1052,963,972,995,1188,1372
Africa,Northern Africa,Egypt,,,,,,
Americas,Latin America and the Caribbean,El Salvador,6656,5276,3962,3346,2398,
Europe,Northern Europe,Estonia,45,33,29,28,23,42
Africa,Sub-Saharan Africa,Eswatini,112,116,130,,,
Africa,Sub-Saharan Africa,Ethiopia,,,,,,
Oceania,Melanesia,Fiji,,,,,,20
Europe,Northern Europe,Finland,82,74,67,86,88,91
Europe,Western Europe,France,1012,884,813,779,861,
Americas,Latin America and the Caribbean,French Guiana,,,,,,
Oceania,Polynesia,French Polynesia,,,,,,
Asia,Western Asia,Georgia,,39,91,89,77,
Europe,Western Europe,Germany,682,963,813,788,623,782
Africa,Sub-Saharan Africa,Ghana,525,549,609,,,
Europe,Southern Europe,Gibraltar,,,,,,
Europe,Southern Europe,Greece,93,84,86,99,78,78
Americas,Northern America,Greenland,4,3,,,,
Americas,Latin America and the Caribbean,Grenada,6,11,12,12,16,
Americas,Latin America and the Caribbean,Guadeloupe,39,23,,,,
Oceania,Micronesia,Guam,,,,,7,
Americas,Latin America and the Caribbean,Guatemala,,,,5553,4578,
Africa,Sub-Saharan Africa,Guinea-Bissau,,64,21,,,
Americas,Latin America and the Caribbean,Guyana,149,142,115,111,136,157
Americas,Latin America and the Caribbean,Haiti,1071,1028,,743,,
Europe,Southern Europe,Holy See,0,,,,,
Americas,Latin America and the Caribbean,Honduras,5148,5150,3864,3732,4094,3598
Europe,Eastern Europe,Hungary,221,202,242,86,64,80
Europe,Northern Europe,Iceland,3,1,3,3,1,5
Asia,Southern Asia,India,44373,42320,41017,40985,40479,40651
Asia,South-eastern Asia,Indonesia,,,,,,
Asia,Southern Asia,Iran (Islamic Republic of),,,,1795,,
Asia,Western Asia,Iraq,,,,,,
Europe,Northern Europe,Ireland,31,34,39,39,34,34
Europe,Northern Europe,Isle of Man,1,0,,,,
Asia,Western Asia,Israel,110,104,123,116,125,
Europe,Southern Europe,Italy,469,404,376,359,317,285
Americas,Latin America and the Caribbean,Jamaica,1208,1354,1647,1287,,1323
Asia,Eastern Asia,Japan,363,362,306,334,319,
Asia,Western Asia,Jordan,151,131,133,,115,99
Asia,Central Asia,Kazakhstan,853,,915,,,606
Africa,Sub-Saharan Africa,Kenya,2261,2363,2466,2533,,2151
Oceania,Micronesia,Kiribati,,,,,,
Europe,Southern Europe,Kosovo under UNSCR 1244,42,38,48,44,24,
Asia,Western Asia,Kuwait,,,,,,
Asia,Central Asia,Kyrgyzstan,305,182,240,138,,
Europe,Northern Europe,Latvia,67,69,81,84,75,49
Asia,Western Asia,Lebanon,231,235,246,172,182,128
Africa,Sub-Saharan Africa,Lesotho,897,,,,,
Africa,Sub-Saharan Africa,Liberia,,,,,,
Europe,Western Europe,Liechtenstein,0,0,1,1,1,
Europe,Northern Europe,Lithuania,172,153,129,128,95,101
Europe,Western Europe,Luxembourg,5,5,2,3,4,1
Africa,Sub-Saharan Africa,Malawi,,,,,,
Asia,South-eastern Asia,Malaysia,,,,,,
Asia,Southern Asia,Maldives,4,18,34,,3,
Europe,Southern Europe,Malta,4,5,9,7,5,7
Oceania,Micronesia,Marshall Islands,,,,,,
Americas,Latin America and the Caribbean,Martinique,,,,,,
Africa,Sub-Saharan Africa,Mauritius,21,21,33,37,,
Africa,Sub-Saharan Africa,Mayotte,,,,,,
Americas,Latin America and the Caribbean,Mexico,20762,24559,32079,36685,36661,36579
Oceania,Micronesia,Micronesia (Federated States of),,,,,1,
Europe,Western Europe,Monaco,,,,,,
Asia,Eastern Asia,Mongolia,214,184,191,196,205,196
Europe,Southern Europe,Montenegro,17,28,15,14,23,18
Americas,Latin America and the Caribbean,Montserrat,,,,,,
Africa,Northern Africa,Morocco,431,594,761,510,627,487
Africa,Sub-Saharan Africa,Mozambique,,,,,,
Asia,South-eastern Asia,Myanmar,1152,1198,,,,
Africa,Sub-Saharan Africa,Namibia,,,,,,303
Asia,Southern Asia,Nepal,,,,,,
Europe,Western Europe,Netherlands,104,94,132,,109,107
Oceania,Melanesia,New Caledonia,,,,,,
Oceania,Australia and New Zealand,New Zealand,48,50,35,,126,
Americas,Latin America and the Caribbean,Nicaragua,524,453,431,682,515,
Africa,Sub-Saharan Africa,Niger,,,,,,
Europe,Southern Europe,North Macedonia,25,19,31,25,24,
Europe,Northern Europe,Norway,24,27,28,25,28,31
Asia,Western Asia,Oman,16,16,17,13,23,
Asia,Southern Asia,Pakistan,9486,8516,,8241,8153,
Oceania,Micronesia,Palau,3,0,0,2,,
Americas,Latin America and the Caribbean,Panama,471,405,397,392,480,480
Oceania,Melanesia,Papua New Guinea,,,,,,
Americas,Latin America and the Caribbean,Paraguay,617,669,541,497,554,481
Americas,Latin America and the Caribbean,Peru,2247,2435,,2452,2452,
Asia,South-eastern Asia,Philippines,,11155,8268,5651,4764,
Europe,Eastern Europe,Poland,298,260,287,277,253,268
Europe,Southern Europe,Portugal,,,,,89,93
Americas,Latin America and the Caribbean,Puerto Rico,,,729,641,606,529
Asia,Western Asia,Qatar,,,,,,
Asia,Eastern Asia,Republic of Korea,375,356,301,309,297,308
Europe,Eastern Europe,Republic of Moldova,189,,141,166,157,
Africa,Sub-Saharan Africa,Réunion,,,,,,
Europe,Eastern Europe,Romania,339,306,255,250,244,281
Europe,Eastern Europe,Russian Federation,16646,15864,13293,11964,11202,10697
Africa,Sub-Saharan Africa,Rwanda,293,,,,,
Africa,Sub-Saharan Africa,Saint Helena,,,,,,
Americas,Latin America and the Caribbean,Saint Kitts and Nevis,,30,23,23,12,
Americas,Latin America and the Caribbean,Saint Lucia,28,30,53,39,46,
Americas,Latin America and the Caribbean,Saint Martin (French part),6,10,,,,
Americas,Northern America,Saint Pierre and Miquelon,,,,,,
Americas,Latin America and the Caribbean,Saint Vincent and the Grenadines,,40,39,34,19,
Oceania,Polynesia,Samoa,,,7,13,,
Europe,Southern Europe,San Marino,,,,,,
Africa,Sub-Saharan Africa,Sao Tome and Principe,,,,,,
Asia,Western Asia,Saudi Arabia,,,,224,285,
Africa,Sub-Saharan Africa,Senegal,39,,,,,
Europe,Southern Europe,Serbia,104,123,94,108,90,89
Africa,Sub-Saharan Africa,Seychelles,7,12,7,9,10,
Africa,Sub-Saharan Africa,Sierra Leone,124,,,,,
Asia,South-eastern Asia,Singapore,14,18,11,9,12,10
Europe,Eastern Europe,Slovakia,44,57,74,62,76,63
Europe,Southern Europe,Slovenia,20,10,19,10,10,11
Oceania,Melanesia,Solomon Islands,,,,,,
Africa,Sub-Saharan Africa,South Africa,18673,19016,20336,21036,21325,19846
Africa,Sub-Saharan Africa,South Sudan,,,,,,
Europe,Southern Europe,Spain,302,294,307,289,333,298
Asia,Southern Asia,Sri Lanka,487,530,486,514,742,
Asia,Western Asia,State of Palestine,54,19,34,19,35,48
Americas,Latin America and the Caribbean,Suriname,34,41,31,38,30,
Europe,Northern Europe,Sweden,112,106,113,108,111,124
Europe,Western Europe,Switzerland,57,45,45,50,46,47
Asia,Western Asia,Syrian Arab Republic,,,,,3364,
Asia,Central Asia,Tajikistan,,,,,,87
Asia,South-eastern Asia,Thailand,,,,,,
Asia,South-eastern Asia,Timor-Leste,49,,,,,
Oceania,Polynesia,Tonga,,,,,3,
Americas,Latin America and the Caribbean,Trinidad and Tobago,420,463,494,516,538,
Africa,Northern Africa,Tunisia,,,,,571,562
Asia,Western Asia,Turkey,2235,2704,2541,2154,26,
Asia,Central Asia,Turkmenistan,,,,,,
Americas,Latin America and the Caribbean,Turks and Caicos Islands,,,,,,
Oceania,Polynesia,Tuvalu,,,,,0,
Africa,Sub-Saharan Africa,Uganda,,4482,4735,4497,4718,4460
Europe,Eastern Europe,Ukraine,,,2751,,,
Asia,Western Asia,United Arab Emirates,60,,,,64,
Europe,Northern Europe,United Kingdom,,,,,,
Africa,Sub-Saharan Africa,United Republic of Tanzania,3746,3439,,,,
Americas,Northern America,United States of America,15883,17413,17294,16374,16425,20982
Americas,Latin America and the Caribbean,United States Virgin Islands,,,,,,
Americas,Latin America and the Caribbean,Uruguay,293,267,283,416,392,
Asia,Central Asia,Uzbekistan,506,757,591,474,396,
Oceania,Melanesia,Vanuatu,,,,,2,1
Americas,Latin America and the Caribbean,Venezuela (Bolivarian Republic of),15654,17407,14665,,,
Asia,South-eastern Asia,Viet Nam,,,,,,
Asia,Western Asia,Yemen,,,,,,
Africa,Sub-Saharan Africa,Zambia,853,,,,,
Africa,Sub-Saharan Africa,Zimbabwe,,,,,,
